STATION_LINE,DAILY_ENTRIES
ALLERTON AV-25,7911.751633986928
25 AV-D,7900.64705882353
BRIARWOOD-EF,7813.287581699346
176 ST-4,7709.032679738562
WAKEFIELD/241-2,7704.6209150326795
LORIMER ST-LG,7678.549019607844
KINGSTON AV-3,7664.339869281046
233 ST-25,7659.333333333333
JACKSON AV-25,7624.75816993464
WOODHAVEN BLVD-JZ,7576.8758169934645
COURT SQ-7,7487.830065359477
18 AV-N,7479.156862745098
6 AV-FLM123,7454.019607843137
163 ST-AMSTERDM-C,7403.771241830065
103 ST-BC,7348.346405228758
EASTCHSTER/DYRE-5,7264.671052631579
FOREST AVE-M,7259.0392156862745
CRESCENT ST-JZ,7231.24183006536
SMITH-9 ST-FG,7199.967320261438
FREEMAN ST-25,7102.398692810458
PENNSYLVANIA AV-3,7068.16339869281
SUTPHIN BLVD-F,7018.861842105263
FAR ROCKAWAY-A,7013.18954248366
BEVERLY RD-25,6965.294117647059
JAMAICA VAN WK-E,6918.21568627451
36 ST-MR,6860.861842105263
NECK RD-BQ,6820.4575163398695
WILSON AV-L,6818.9477124183
BOWERY-JZ,6651.398692810458
BERGEN ST-23,6651.248366013072
EASTN PKWY-MUSM-23,6602.381578947368
NOSTRAND AV-3,6595.83660130719
FT HAMILTON PKY-D,6504.771241830065
NEW LOTS-L,6455.673202614379
80 ST-A,6449.908496732026
DITMAS AV-F,6436.228758169935
225 ST-25,6259.849673202614
LONGWOOD AV-6,6183.333333333333
20 AV-N,6119.274509803921
25 ST-R,6070.16339869281
SENECA AVE-M,6022.261437908497
HEWES ST-JM,5997.588235294118
BUHRE AV-6,5978.718954248366
85 ST-FOREST PK-J,5958.535947712418
PRESIDENT ST-25,5956.339869281046
155 ST-BD,5922.196078431372
METROPOLITAN AV-M,5909.882352941177
AVENUE U-N,5840.339869281046
HARLEM 148 ST-3,5823.64705882353
CHAUNCEY ST-JZ,5774.81045751634
4 AV-9 ST-DFGMNR,5759.535947712418
VAN SICLEN AV-3,5670.444444444444
ST LAWRENCE AV-6,5627.300653594772
RIT-MANHATTAN-R,5626.137254901961
65 ST-MR,5528.414473684211
JAY ST-METROTEC-R,5467.058823529412
74 ST-BROADWAY-7EFMR,5464.490196078431
CYPRESS AV-6,5385.183006535948
75 AV-EF,5368.529411764706
SUTTER AV-L,5354.281045751634
RIT-ROOSEVELT-R,5318.581699346405
75 ST-ELDERTS-JZ,5313.932885906041
145 ST-3,5301.40522875817
50 ST-D,5290.222222222223
BURKE AV-25,5279.856209150327
BEVERLEY ROAD-BQ,5252.450980392156
EAST 105 ST-L,5219.1241830065355
219 ST-25,5171.0522875817
SHEPHERD AV-C,5047.535947712418
INTERVALE AV-25,5031.2091503267975
NORWOOD AV-JZ,5023.712418300654
AVENUE H-BQ,4933.581699346405
AVENUE N-F,4918.535947712418
PELHAM PKWY-5,4901.267973856209
BAYCHESTER AV-5,4877.071895424837
LIVONIA AV-L,4759.954248366013
OCEAN PKWY-Q,4754.607843137255
CLEVELAND ST-J,4711.830065359477
PATH WTC 2-1,4603.176470588235
155 ST-C,4593.444444444444
NEREID AV-25,4503.64705882353
BAY 50 ST-D,4379.732026143791
88 ST-A,4231.75816993464
VAN SICLEN AV-JZ,4216.464052287582
ZEREGA AV-6,4155.699346405228
86 ST-N,4125.895424836602
PARK PLACE-23ACE,4101.411764705882
AVENUE P-F,4036.0196078431372
BOROUGH HALL-R2345,3998.7124183006536
BRONX PARK EAST-25,3975.6601307189544
LIBERTY AV-C,3967.640522875817
138/GRAND CONC-45,3930.653594771242
104 ST-JZ,3916.1895424836603
FLUSHING AV-G,3862.2156862745096
AVENUE X-F,3770.705882352941
JUNIUS ST-3,3684.699346405229
GUN HILL RD-5,3668.9411764705883
MORRIS PARK-5,3592.2156862745096
121 ST-JZ,3546.8954248366013
BEACH 67 ST-A,3503.9803921568628
ALABAMA AV-J,3479.2614379084966
W 8 ST-AQUARIUM-FQ,3447.673202614379
111 ST-J,3382.150326797386
55 ST-D,3305.2287581699347
AVENUE I-F,3292.4901960784314
BUSHWICK AV-L,3178.0718954248364
AVENUE U-F,3123.581699346405
MIDDLETOWN RD-6,3111.9346405228757
WHITLOCK AV-6,3082.424836601307
BEACH 60 ST-A,2953.267973856209
21 ST-G,2776.529411764706
BEACH 25 ST-A,2719.97385620915
104 ST-A,2702.921568627451
PARK PLACE-S,2658.1372549019607
215 ST-1,2643.947712418301
AQUEDUCT RACETR-A,2632.02614379085
ATLANTIC AV-L,2520.59477124183
CYPRESS HILLS-J,2379.62091503268
NEPTUNE AV-F,2356.4771241830067
BOTANIC GARDEN-S2345,2175.150326797386
BAY PKWY-F,2093.6928104575163
E 143/ST MARY'S-6,1822.3464052287582
NEWARK HM HE-1,1808.9346405228757
BEACH 36 ST-A,1545.516339869281
BEACH 90 ST-AS,1381.1568627450981
AQUEDUCT N.COND-A,1344.1503267973856
BEACH 44 ST-A,1121.6143790849674
ROCKAWAY PARK B-AS,1027.4052287581699
TOMPKINSVILLE-1,953.9019607843137
BEACH 98 ST-AS,663.3398692810457
BROAD CHANNEL-AS,452.52941176470586
BEACH 105 ST-AS,314.0261437908497
