STATION_LINE,DAILY_ENTRIES,MIN_HOSP_DIST
RECTOR ST-NRW,15534.55556,3
LACKAWANNA-1,15476.64052,4
NEWKIRK PLAZA-BQ,15419.56209,5
CHAMBERS ST-JZ456,15299.79085,6
PROSPECT PARK-BQS,15240.20915,7
96 ST-BC,15194.72549,8
NEVINS ST-2345,14825.03268,9
111 ST-A,14790.07843,10
33 ST-RAWSON ST-7,14684.5817,11
ROCKAWAY AV-C,14511.40523,12
FT HAMILTON PKY-FG,14445.71242,13
7 AV-BQ,14424.35948,14
4AV-9 ST-DFGMNR,14355.94771,15
KINGSBRIDGE RD-4,14218.68627,16
53 ST-R,14187.60131,17
BEDFORD-NOSTRAN-G,14128.43137,1
168 ST-1AC,13970.93069,2
NORWOOD 205 ST-D,13968.73203,3
167 ST-4,13881.84314,4
HARRISON-1,13758.4902,5
BROADWAY JCT-ACJLZ,13719.09804,6
MT EDEN AV-4,13675.40523,7
GRAHAM AV-L,13597.44444,8
72 ST-BC,13557.75817,9
67 AV-MR,13468.4902,10
ROCKAWAY AV-3,13455.68627,11
3 AV 138 ST-6,13373.71242,12
SIMPSON ST-25,13350.0915,13
170 ST-4,13211.1634,14
46 ST-MR,13081.64706,15
FORDHAM RD-4,13069.35948,16
KINGSBRIDGE RD-BD,13048.4902,17
CANAL ST-1,13039.64706,1
CENTRAL PK N110-23,13000.81699,2
PELHAM BAY PARK-6,12983.73856,3
RECTOR ST-1,12870.98693,4
18 ST-1,12808.61184,5
9TH STREET-1,12757.36601,6
169 ST-F,12715.84314,7
BAY PKWY-D,12666.24837,8
MOSHOLU PKWY-4,12577.2549,9
BAY RIDGE AV-R,12533.62092,10
45 ST-R,12180.09804,11
GRAND ARMY PLAZ-23,11985.28289,12
CLASSON AV-G,11820.28105,13
UNION ST-R,11758.03922,14
CATHEDRAL PKWY-BC,11638.84967,15
NEWKIRK AV-25,11574.93464,16
DYCKMAN ST-A,11573.94771,17
ROCKAWAY BLVD-A,11531.05882,12
125 ST-1,11487.40523,3
116 ST-BC,11428.28105,4
HOYT ST-23,11414.44444,11
GATES AV-JZ,11408.30065,6
ROOSEVELT ISLND-F,11403.79085,4
AVENUE U-BQ,11348.95425,1
BEDFORD PK BLVD-BD,11319.71242,2
JEFFERSON ST-L,11269.03268,3
WINTHROP ST-25,11268.26797,4
HALSEY ST-L,11256.50327,5
VAN SICLEN AVE-C,11208.00654,6
NEWARK C-1,11181.42484,7
V.CORTLANDT PK-1,11152.69281,8
CLINTON-WASH AV-C,11075.15686,9
OZONE PK LEFFRT-A,11054.02614,10
PARSONS BLVD-F,10890.08553,11
BAY PKWY-N,10873.14379,12
ASTORIA BLVD-NQW,10849.95098,13
HALSEY ST-J,10697.88889,14
MORGAN AV-L,10643.39216,15
HOWARD BCH JFK-A,10614.20261,16
KINGSTON-THROOP-C,10572.84314,17
SUTTER AV-RUTLD-3,10560.94118,1
E 180 ST-25,10522.12418,2
170 ST-BD,10499.53595,3
DYCKMAN ST-1,10401.97386,4
WOODLAWN-4,10375.56209,5
18 AV-F,10317.75817,6
MORISN AV/SNDVW-6,10315.54248,7
CASTLE HILL AV-6,10302.2549,8
NORTHERN BLVD-MR,10286.35294,9
36 AV-NQW,10236.11765,10
18 AV-D,10235.47712,11
BROAD ST-JZ,10195.69281,12
79 ST-D,10179.06536,13
15 ST-PROSPECT-FG,10080.30065,14
FULTON ST-G,10051.83007,15
52 ST-7,9951.222222,16
ELDER AV-6,9914.771242,17
MONTROSE AV-L,9905.54902,1
WEST FARMS SQ-25,9885.326797,2
FT HAMILTON PKY-N,9879.875,3
FRESH POND RD-M,9842.79085,4
BROOK AV-6,9664.300654,5
MYRTLE-WILLOUGH-G,9625.934641,6
174 ST-25,9594.686275,7
GRAND ST-L,9528.620915,8
CORTELYOU RD-BQ,9502.137255,9
WESTCHESTER SQ-6,9460.124183,10
RALPH AV-C,9440.398693,11
207 ST-1,9375.228758,12
183 ST-4,9375.013245,13
174-175 STS-BD,9361.934641,14
HUNTERS PT AV-7,9356.836601,15
AVENUE J-BQ,9326.281046,16
NEWARK HW BMEBE-1,9301.117647,17
PARKSIDE AV-BQ,9210.960784,1
GUN HILL RD-25,9187.699346,2
BAY RIDGE-95 ST-R,9144.359477,3
PROSPECT AV-R,9118.058824,4
KOSCIUSZKO ST-J,9099.228758,5
COURT SQ-23 ST-EMG,9075.568627,6
9 AV-D,9061.777778,7
135 ST-BC,9007.51634,8
3 AV-L,8938.601307,9
191 ST-1,8915.928105,10
